Abbott,"","",""
Indoor,"","",""
Fitness Center ,"","",<0.120 U
Main Lobby ,"","",0.579 J
Outdoor ,"","",""
Fountain 1 High ,"","",<0.120 U
Fountain 1 Low ,"","",<0.120 U
Fountain 2 ,"","",<0.120 U
Fountain 3 ,"","",0.245 J
Fountain 4 ,"","",4.48 J
Ada,"","",""
Indoor,"","",""
Main Lobby ,"","",<2.0 U
Kitchen Sink ,"","",<2.0 U
Outdoor,"","",""
Fountain 1 ,"","",11.7
Fountain 2 ,"","",<0.120 U
Fountain 3 ,"","",9.63
Fountain 4 ,"","",7.57
Adams (George & Adelle),"","",""
Indoor,"","",""
Hallway ,"","",4.34 J
Kitchen Sink ,"","",5.3
Outdoor,"","",""
Fountain 1 ,"","",˂2.0 U
Fountain 2 High* ,"","",75
Fountain 2 Low* ,"","",75
Adams (John),"","",""
Indoor ,"","",""
Hallway Outside Washroom ,"","",4.02  J
Addam/Medil,"","",""
Outdoor ,"","",""
Fountain 1 ,"","",7.5
Addams Memorial (Jane),""
Outdoor ,""
Fountain 1 ,<2.0 U
Aiello,""
Outdoor,""
Fountain 1 High ,2.9 J
Fountain 1 Middle ,2.88 J
Fountain 1 Low ,3.3 J
Algonquin,""
Outdoor,""
Fountain 1 High ,6.64
Fountain 1 Middle ,6.65
Fountain 1 Low ,6.67
Altgeld,""
Indoor,""
Main Lobby - High ,4.91  J
Main Lobby - Low ,2.31  J
Basement Fitness Center ,0.35  J
Outdoor,""
Fountain 2 ,2.1 J
Fountain 3 High ,2.01 J
Fountain 3 Low ,˂0.120 U
Amundsen,""
Indoor,""
Club Room ,0.204 J
Men's Locker Room ,2.01 J
Women's Locker Room* ,53.1
Outdoor,""
Fountain 1* ,156
Anderson (Fred),""
Outdoor,""
Fountain 1 High ,˂2.0 U
Fountain 1 Low ,˂2.0 U
Fountain 2 High ,˂2.0 U
Fountain 2 Low ,˂2.0 U
Fountain 3 High ,˂2.0 U
Fountain 3 Low ,˂2.0 U
Anderson (Louis),""
Indoor,""
Lobby ,1.29 J
Outdoor ,""
Fountain 1* ,20
Andersonville,""
Outdoor ,""
Fountain 1* ,72.7
Arcade,""
Outdoor,""
Fountian 1* ,16.6
Archer,""
Indoor,""
Men's Restroom ,0.845 J
Women's Restroom ,0.771 J
Main Lobby ,0.561 J
Kitchen Sink ,<2.0 U
Outdoor,""
Fountain 1 High ,0.731 J
Fountain 1 Low ,1.2 J
Fountain 2* ,38
Fountain 3 High ,1.5 J
Fountain 3 Middle ,1.53 J
Fountain 3 Low ,1.57 J
Fountain 4 ,1.18 J
Armour Square,""
Indoor ,""
Main Lobby ,0.597  J
Girl's Gym Hallway ,<0.120  U
Game Room ,<0.120  U
Kitchen Sink ,<2.0 U
Outdoor ,""
Fountain 1 ,0.167 J
Fountain 2 High ,1.53 J
Fountain 2 Middle ,3.81 J
Fountain 2 Low ,3.37 J
Fountain 3 High ,2.51 J
Fountain 3 Low ,1.63 J
Fountain 4 High ,6.44
Fountain 4 Low ,6.25
Armstrong,""
Outdoor ,""
Fountain 1 ,<2.0 U
Ashe Beach,""
Outdoor,""
Fountain 1 High ,˂2.0 U
Fountain 1 Middle ,˂2.0 U
Fountain 1 Low ,˂2.0 U
Ashmore,""
Outdoor ,""
Fountain 1* ,32.9
Aspen,""
Outdoor ,""
Fountian 1 High ,˂2.0 U
Fountian 1 Low ,2.2
Aster,""
Outdoor,""
Fountain 1 ,9.7
Athletic Field,""
Indoor,""
Main Lobby ,2.25 J
Oudoor,""
Fountain 1* ,47.5
Fountain 2 High ,˂0.120 U
Fountain 2 Middle ,˂0.120 U
Fountain 2 Low ,˂0.120 U
Augusta,""
Indoor,""
Lobby ,10.4
Outdoor,""
Fountain 1 High ,0.769 J
Fountain 1 Middle ,0.769 J
Fountain 1 Low ,0.789 J
Austin-Foster,""
Outdoor,""
Fountain 1 High* ,20.6
Fountain 1 Low* ,51
Austin Town Hall,""
Indoor,""
Main Lobby ,<0.120  U
2nd Floor Outside Gym ,1.16  J
2nd Floor Inside Gym ,1.82  J
Pool Area ,<0.120  U
Basement Girl's Locker Room ,0.365  J
"",Basement Boy's Locker Room ,0.233  J
"",Preschool ,<0.120 U
"",Preschool Sink ,0.176 J
"",Outdoor,""
"",Fountain 1 ,2.41 J
Avalon,"",""
"",Indoor,""
"",Main Lobby ,0.274  J
"",Near Kitchen ,2.52  J
"",Girl's Locker Room ,1.65  J
"",Boy's Locker Room ,5.01
"",Outdoor,""
"",Fountain 1 ,7.9
"",Fountain 2 High ,˂2.0 U
"",Fountain 2 Low ,2.7
"",Fountain 3 High* ,1800
"",Fountain 3 Low* ,1200
"",Fountain 4 High* ,270
"",Fountain 4 Low* ,400
"",Fountain 5 High* ,150
"",Fountain 5 Low* ,170
"",Fountain 6 High* ,8.2
"",Fountain 6 Low* ,15
Avondale,"",""
"",Indoor,""
"",Main Lobby ,0.909 J
"",Outdoor,""
"",Fountain 1 ,0.457 J
"",Fountain 2 ,9.52
Barnard,"",""
"",Outdoor ,""
