park_name,fixture_location,result_value,result_flag,processed_result,exceeds_epa
Abbott,Fitness Center,<0.120,U,0.0,0
Abbott,Main Lobby,0.579,J,0.579,0
Abbott,Fountain 1 High,<0.120,U,0.0,0
Abbott,Fountain 1 Low,<0.120,U,0.0,0
Abbott,Fountain 2,<0.120,U,0.0,0
Abbott,Fountain 3,0.245,J,0.245,0
Abbott,Fountain 4,4.48,J,4.48,0
Ada,Main Lobby,<2.0,U,0.0,0
Ada,Kitchen Sink,<2.0,U,0.0,0
Ada,Fountain 1,11.7,,11.7,0
Ada,Fountain 2,<0.120,U,0.0,0
Ada,Fountain 3,9.63,,9.63,0
Ada,Fountain 4,7.57,,7.57,0
Adams (George & Adelle),Hallway,4.34,J,4.34,0
Adams (George & Adelle),Kitchen Sink,5.3,,5.3,0
Adams (George & Adelle),Fountain 1,<2.0,U,0.0,0
Adams (George & Adelle),Fountain 2 High*,75,,75.0,1
Adams (George & Adelle),Fountain 2 Low*,75,,75.0,1
Adams (John),Hallway Outside Washroom,4.02,J,4.02,0
Addam/Medil,Fountain 1,7.5,,7.5,0
Addams Memorial (Jane),Fountain 1,<2.0,U,0.0,0
Aiello,Fountain 1 High,2.9,J,2.9,0
Aiello,Fountain 1 Middle,2.88,J,2.88,0
Aiello,Fountain 1 Low,3.3,J,3.3,0
Algonquin,Fountain 1 High,6.64,,6.64,0
Algonquin,Fountain 1 Middle,6.65,,6.65,0
Algonquin,Fountain 1 Low,6.67,,6.67,0
Altgeld,Main Lobby - High,4.91,J,4.91,0
Altgeld,Main Lobby - Low,2.31,J,2.31,0
Altgeld,Basement Fitness Center,0.35,J,0.35,0
Altgeld,Fountain 2,2.1,J,2.1,0
Altgeld,Fountain 3 High,2.01,J,2.01,0
Altgeld,Fountain 3 Low,<0.120,U,0.0,0
Amundsen,Club Room,0.204,J,0.204,0
Amundsen,Men's Locker Room,2.01,J,2.01,0
Amundsen,Women's Locker Room*,53.1,,53.1,1
Amundsen,Fountain 1*,156,,156.0,1
Anderson (Fred),Fountain 1 High,<2.0,U,0.0,0
Anderson (Fred),Fountain 1 Low,<2.0,U,0.0,0
Anderson (Fred),Fountain 2 High,<2.0,U,0.0,0
Anderson (Fred),Fountain 2 Low,<2.0,U,0.0,0
Anderson (Fred),Fountain 3 High,<2.0,U,0.0,0
Anderson (Fred),Fountain 3 Low,<2.0,U,0.0,0
Anderson (Louis),Lobby,1.29,J,1.29,0
Anderson (Louis),Fountain 1*,20,,20.0,1
Andersonville,Fountain 1*,72.7,,72.7,1
