park_name,num_fixtures,score
Abbott,7,0.0
Ada,6,0.0
Adams (George & Adelle),5,0.4
Adams (John),1,0.0
Addam/Medil,1,0.0
Addams Memorial (Jane),1,0.0
Aiello,3,0.0
Algonquin,3,0.0
Altgeld,6,0.0
Amundsen,4,0.5
Anderson (Fred),6,0.0
Anderson (Louis),2,0.5
Andersonville,1,1.0
Arcade,1,1.0
Archer,11,0.09090909090909091
Armour Square,12,0.0
Armstrong,1,0.0
Ashe Beach,3,0.0
Ashmore,1,1.0
Aspen,2,0.0
Aster,1,0.0
Athletic Field,5,0.2
Augusta,4,0.0
Austin Town Hall,9,0.0
Austin-Foster,2,1.0
Avalon,15,0.4
Avondale,3,0.0
Barnard,3,0.3333333333333333
Barrett,1,0.0
Bartelme,5,0.0
Bauler,1,1.0
Beehive,2,0.0
Bell,2,0.5
Berger,3,0.0
Berger Cultural Ctr Annex,1,0.0
Bessemer,7,0.0
Beverly,6,0.16666666666666666
Birch,2,0.0
Bixler,2,0.0
Blackhawk,4,0.5
Blackwelder,3,0.0
Bogan,4,0.0
Bosley,1,0.0
Boswell,2,1.0
Bradley,2,0.5
Brainerd,8,0.0
Brands,7,0.14285714285714285
Brighton,3,0.0
Broadway Armory,3,0.0
Bromann,3,0.0
Bronco Billy,2,0.0
Brooks (Gwendolyn),2,0.0
Brooks (Oscar),5,0.6
Brown Memorial,2,1.0
Brynford,2,0.0
Burnham,52,0.1346153846153846
Burnside,3,0.0
Buttercup,3,0.0
California,6,0.16666666666666666
Calumet,19,0.05263157894736842
Carver,7,0.0
Catalpa,1,0.0
Cedar,3,0.0
Central Playlot,2,0.0
Challenger,3,0.0
Chase,11,0.2727272727272727
Chestnut,2,1.0
Chicago Women's,3,0.0
Chippewa,2,0.0
Chopin,5,0.2
Churchill,6,0.0
Citizens Memorial,1,1.0
Claremont,3,0.0
Clarendon,12,0.08333333333333333
Clark (John),2,0.0
Clark (Richard),4,0.0
Clark Boathouse,2,0.0
Clover,2,1.0
Clybourn,2,1.0
Cochran,2,1.0
Cole,7,0.42857142857142855
Coleman,1,1.0
Coliseum,4,0.0
Columbus,15,0.0
Columbus Athletic Building,1,0.0
Columbus Refectory,1,0.0
Commercial Club,5,0.0
Cooper,4,0.0
Cornell,2,1.0
Cornell Square,8,0.0
Cosme,3,0.0
Cotton Tail,4,0.0
Cragin,3,0.0
Cresent,1,0.0
D'Elia,2,1.0
Daley (Richard),2,0.0
Davis (M.),1,0.0
Davis Square,9,0.1111111111111111
Dawes,6,0.16666666666666666
De Burgos,3,0.0
DeJulio,2,1.0
Dean,3,0.0
Dearborn,4,1.0
Debow,1,1.0
Dickinson,3,0.0
Dixon,2,0.0
Dogwood,1,1.0
Don Nash Community Center,5,0.0
Donahue,3,0.0
Donovan,2,0.5
Dougherty,1,0.0
Douglas,14,0.14285714285714285
Drexel,1,1.0
Dubkin,2,0.0
Dunbar,9,0.2222222222222222
Dunham,9,0.2222222222222222
Durkin,3,0.0
Dvorak,13,0.23076923076923078
Eckersall,2,0.0
Eckhart,9,0.0
Edgebrook,2,0.0
Edison,1,0.0
Edmonds,2,0.0
Ellis,7,0.2857142857142857
Elm,1,0.0
Emerald,1,1.0
Emmerson,2,0.5
Erhler,1,0.0
Essex,3,0.0
Euclid,6,0.0
Eugene Field,14,0.21428571428571427
Fellger,2,0.0
Fernwood,4,0.25
Filbert,3,0.0
Flower,3,0.0
Flying Squirrel,1,0.0
Forest Glen,3,0.0
Fosco,19,0.0
Foster,15,0.2
Franklin,9,0.1111111111111111
Fuller,12,0.25
Gage,16,0.1875
Galewood,3,0.0
Garfield,21,0.09523809523809523
Garibaldi,1,0.0
Gately,2,0.5
Gill,7,0.42857142857142855
Gladstone,3,0.6666666666666666
Gladys,1,0.0
Goldberg,2,1.0
Golden Gate,2,0.0
Gompers,16,0.375
Gooseberry,1,1.0
Goudy,3,0.0
Grand Crossing,11,0.0
Grand Playlot,1,1.0
Grant,66,0.16666666666666666
Grape,1,1.0
Graver,3,0.0
Green,1,1.0
Green Briar,5,0.4
Greenbaum,5,0.0
Griffin,1,1.0
Gross,2,1.0
Haas,6,0.0
Hale,10,0.1
Hamilton,9,0.0
Hamlin,6,0.5
Hansberry,1,0.0
Harding (Frederick),1,0.0
Harding (George),1,0.0
Harris,7,0.0
Harrison,8,0.0
Hartigan Beach,3,0.0
Hayes,11,0.18181818181818182
Hazelnut,1,0.0
Hermitage,4,0.0
Hermosa,3,0.0
Hiawatha,7,0.14285714285714285
Hickory,2,0.0
Hoard,1,0.0
Hollywood,3,0.3333333333333333
Holstein,5,0.2
Homan Square,6,0.0
Honeysuckle,2,1.0
Horan,2,0.0
Hornbeam,1,0.0
Horner,26,0.5
Houston,2,0.0
Hoyne,2,0.0
Huckleberry,1,0.0
Humbert,2,0.0
Humboldt,34,0.20588235294117646
Hurley,3,0.0
Independence,11,0.18181818181818182
Indian Boundary,8,0.625
Indian Road,7,0.42857142857142855
Jackson (Andrew),32,0.3125
Jackson (Mahalia),2,1.0
Jackson Playlot,1,1.0
Jacob,2,1.0
Jefferson,1,1.0
Jefferson Memorial,9,0.1111111111111111
Jefferson Playlot,3,0.0
Jensen,4,0.0
Jesse White Comm Ctr,4,0.0
Jones,1,0.0
Jonquil,5,0.4
Junction Grove,1,1.0
Juneway Beach,1,1.0
Juniper,1,1.0
Kedvale,3,0.0
Kells,1,1.0
Kelly,4,0.0
Kelvyn,7,0.14285714285714285
