park_name,score,num_fixtures,geo_park
Levin,0,1,LEVIN (JOHN)
Jefferson,1,1,JEFFERSON (NANCY)
Skinner,0,11,SKINNER (MARK)
Garfield,0.0952380952380952,21,GARFIELD (JAMES)
Moore,0,5,MOORE (MAURICE)
Claremont,0,3,CLAREMONT
Columbus Refectory,0,1,COLUMBUS (CHRISTOPHER)
Columbus Athletic Building,0,1,COLUMBUS (CHRISTOPHER)
Columbus,0,15,COLUMBUS (CHRISTOPHER)
Clark (John),0,2,CLARK (JOHN)
Ninebark,1,1,NINEBARK
Garibaldi,0,1,GARIBALDI (GIUSEPPI)
Magnolia,0,1,MAGNOLIA
Gladys,0,1,GLADYS (GUNDERSON)
Horan,0,2,HORAN (ALBERT)
Altgeld,0,6,ALTGELD (JOHN)
Sheridan,0.166666666666667,12,SHERIDAN (PHILIP HENRY)
Dearborn,1,4,DEARBORN (HENRY)
Dogwood,1,1,DOGWOOD
Senn,0.3,10,SENN (NICHOLAS)
Cosme,0,3,COSME (MARGARET)
Grant,0.166666666666667,66,GRANT (ULYSSES)
Ping Tom,0,13,TOM (PING) MEML.
Schreiber,0,5,SCHREIBER
North Park Village Nature Center,0,1,NORTH PARK NATURE CENTER
Kennicott,0.125,8,KENNICOTT (JONATHAN)
Washington Memorial,0,2,WASHINGTON (HAROLD) MEM.
Carver,0,7,CARVER (GEORGE WASHINGTON)
Addams Memorial (Jane),0,1,ADDAMS (JANE)
Fosco,0,19,FOSCO (PETER)
Kedvale,0,3,KEDVALE
Jackson (Mahalia),1,2,JACKSON (MAHALIA)
Touhy-Herbert,0,2,"TOUHY-HERBERT (JOHN, VICTOR)"
Rutherford Sayre,0,7,RUTHERFORD SAYRE
Prospect Gardens,0.5,2,PROSPECT GARDENS
Franklin,0.111111111111111,9,FRANKLIN (BENJAMIN)
Clark Boathouse,0,2,CLARK (RICHARD)
Clark (Richard),0,4,CLARK (RICHARD)
Williams-Davis,0,2,"WILLIAMS-DAVIS (HATTIE KAY,IZORA)"
Hornbeam,0,1,HORNBEAM
Throop,0,1,THROOP (AMOS GAGER)
McGuane,0.3125,16,MCGUANE (JOHN)
Northerly Island,0,5,NORTHERLY ISLAND
Jones,0,1,JONES (MARY RICHARDSON)
Cotton Tail,0,4,COTTON TAIL
Harrison,0,8,HARRISON (CARTER)
Reyes,1,1,REYES (GUADALUPE)
Barrett,0,1,BARRETT (JOHN)
Homan Square,0,6,HOMAN (JOSEPH)
Shedd,0,4,SHEDD (JOHN G.)
Sun-Yet Sen,0,2,SUN YAT-SEN
Limas,1,1,LIMAS (JULIANN HOPE)
Washtenaw,0.75,4,WASHTENAW
Williams,0,1,WILLIAMS (DANIEL HALE)
Miami,0,3,MIAMI
Dunbar,0.222222222222222,9,DUNBAR (PAUL LAURENCE)
Humbert,0,2,HUMBERT (JAMES)
Mulberry,0,1,MULBERRY
Piotrowski,0.173913043478261,23,PIOTROWSKI (LILLIAN)
Armour Square,0,12,ARMOUR (PHILIP) SQUARE
Kucinski-Murphy,0,1,"KUCINSKI-MURPHY (VICKI, ROSEBETH)"
Wilson (John) Community Center,0,3,WILSON (JOHN)
Hoyne,0,2,HOYNE (THOMAS)
Ellis,0.285714285714286,7,ELLIS (SAMUEL)
Brighton,0,3,BRIGHTON
Donovan,0.5,2,DONOVAN (GEORGE)
Anderson (Louis),0.5,2,ANDERSON (LOUIS)
Wentworth Garden,0,4,WENTWORTH (JOHN) GARDENS
Hansberry,0,1,HANSBERRY (LORRAINE)
Sherwood,0,6,SHERWOOD (JESSE)
McKinley,0.2,10,MCKINLEY (WILLIAM)
Poplar,0,2,POPLAR
Aspen,0,2,ASPEN
Jackson Playlot,1,1,JACKSON (ROBERT)
Armstrong,0,1,ARMSTRONG (LILLIAN HARDIN)
LeClaire Court,0.142857142857143,7,LE CLAIRE COURTS - HEARST COMM. CTR
Catalpa,0,1,CATALPA
Davis Square,0.111111111111111,9,DAVIS (DR. NATHAN) SQUARE
