school,long_name,latitude,longitude
Esmond,Esmond Elementary School,41.6893193,-87.6694124
Howe,Howe Elementary School,41.8935467,-87.7599539
Ray,Ray Elementary School,41.7922303,-87.5943728
Cook,Cook Elementary School,41.7458201,-87.6599808
Mcclellan,Mc Clellan Elementary School,41.8303654,-87.6408429
Peck,Peck Elementary School,41.7882691,-87.7193163
Bright,Orville T Bright School,41.6997402,-87.5623159
Blaine,James G. Blaine Elementary School,41.9509619,-87.664931
Young,Ella Flagg Young Elementary School,41.9066429,-87.7676832
Interamerican,Inter-American Elementary Magnet School,41.9487247,-87.65127
Talman,Talman Elementary School,41.7939043,-87.6905684
Edwards,Edwards Elementary School,41.8053759,-87.7255365
Burnham,Burnham Math & Science Academy,41.7145153,-87.5673875
Lowell,James Russell Lowell Elementary School,41.9066526,-87.7105648
Carter,William W Carter School,41.7897375,-87.6233831
Wells,Wells Community Academy High School,41.8991215,-87.6682922
Coonley,John C. Coonley Elementary,41.9554175,-87.6839971
Disney,Walt Disney Magnet Elementary School,41.9567419,-87.6469913
Tilton,George W Tilton Public School,41.884245,-87.729746
Cleveland,Grover Cleveland Elementary School,41.9516981,-87.7059151
Courtenay,Courtenay Elementary Language Arts Center,41.9581423,-87.6717903
Robinson,Jackie Robinson Elementary School,41.817166,-87.5983566
Belmontcragin,Belmont-Cragin Elementary School,41.9211071,-87.7581487
Oriolepark,Oriole Park Elementary School,41.9785202,-87.8129067
Marsh,John L Marsh Elementary School,41.7163788,-87.5531386
Curtis,Curtis Elementary School,41.6857487,-87.622046
Ryder,William H. Ryder Math & Science Specialty Elementary School,41.7351735,-87.6394761
Healy,Healy Elementary School,41.8392179,-87.6408389
Greeley,Horace Greeley Public School,41.9532365,-87.6507526
Stevenson,Stevenson Elementary School,41.7471357,-87.7319927
Dunne,Dunne Technology Academy,41.6962804,-87.6396904
Dediego,Jose De Diego Community Academy,41.9057847,-87.6855288
Ericson,Leif Ericson Elementary Scholastic Academy,41.8758977,-87.7162566
Nightingale,Florence Nightingale School,41.7986385,-87.6898583
Otis,James Otis School,41.8916477,-87.665066
Harte,Bret Harte Elementary School Playground,41.793697,-87.5867468
Burnside,Burnside Elementary Scholastic Academy,41.7288177,-87.60766
Darwin,Charles R Darwin Public School,41.9234551,-87.7052937
Smyser,Smyser Elementary School,41.9587452,-87.7827896
Belding,Belding Elementary School,41.958895,-87.733679
Cooper,Peter Cooper Public School,41.8562196,-87.6672278
Washington,George Washington High School,41.687694,-87.5379655
Dixon,Dixon Elementary School,41.7433125,-87.6105768
Holden,Holden Elementary School,41.8381049,-87.6541439
Brightonpark,Brighton Park Elementary School,41.823823,-87.692055
Bradwell,Myra Bradwell School,41.75444,-87.5574305
Dodge,Dodge Elementary School,41.8892347,-87.7047883
Shoop,Shoop Academy of Math Science,41.6906458,-87.6593076
Yates,Richard Yates Public School,41.9147452,-87.6997978
Penn,Penn Elementary School,41.858343,-87.7218351
Parkmanor,Park Manor Elementary School,41.766664,-87.6112891
Haugan,Helge A Haugan Public School,41.9637367,-87.723628
Volta,Volta Elementary School,41.9714279,-87.7250431
Saucedo,Maria Saucedo Scholastic Academy,41.8485621,-87.697844
Spencer,Spencer Elementary Technology Academy,41.8850409,-87.750779
Reinberg,Peter A Reinberg Public School,41.9426021,-87.7690709
Lozano,Rodolfo Lozano Bilingual & International Center,41.909202,-87.6647752
Taylor,Douglas Taylor Elementary,41.7153322,-87.5333269
