Sample ID #,Sample Location,Sample Collection Time & Date,Test Result (ppb),Test Results
54776-1-KIT-KS01-001,Kitchen,6:12AM,0.23,BA
54776-1-KIT-KS01-002,Kitchen,6:12AM,0.26,BA
54776-1-KIT-KS01-003,Kitchen,6:12AM,0.22,BA
54776-1-KIT-KS01-004,Kitchen,6:12AM,0.25,BA
54776-1-KIT-KS01-005,Kitchen,6:12AM,0.27,BA
54776-1-HAL-F01-001,Outside Main Office Left,6:20AM,<0.50,BA
54776-1-HAL-F01-002,Outside Main Office Left,6:20AM,<0.50,BA
54776-1-HAL-F01-003,Outside Main Office Left,6:20AM,<0.50,BA
54776-1-HAL-F01-004,Outside Main Office Left,6:20AM,0.21,BA
54776-1-HAL-F01-005,Outside Main Office Left,6:20AM,0.23,BA
54776-1-HAL-F02-001,Outside Main Office Middle,6:25AM,<0.50,BA
54776-1-HAL-F02-002,Outside Main Office Middle,6:25AM,<0.50,BA
54776-1-HAL-F02-003,Outside Main Office Middle,6:25AM,0.18,BA
54776-1-HAL-F02-004,Outside Main Office Middle,6:25AM,0.26,BA
54776-1-HAL-F02-005,Outside Main Office Middle,6:25AM,0.24,BA
54776-1-HAL-F03-001,Outside Main Office Right,6:27AM,0.24,BA
54776-1-HAL-F03-002,Outside Main Office Right,6:27AM,0.28,BA
54776-1-HAL-F03-003,Outside Main Office Right,6:27AM,0.27,BA
54776-1-HAL-F03-004,Outside Main Office Right,6:27AM,0.3,BA
54776-1-HAL-F03-005,Outside Main Office Right,6:27AM,0.26,BA
54776-1-100G-S01-001,Principal's Pantry,6:35AM,0.54,BA
54776-1-100G-S01-002,Principal's Pantry,6:35AM,0.28,BA
54776-1-100G-S01-003,Principal's Pantry,6:35AM,0.45,BA
54776-1-100G-S01-004,Principal's Pantry,6:35AM,0.61,BA
54776-1-100G-S01-005,Principal's Pantry,6:35AM,0.88,BA
54776-1-HAL-F04-001,Across RM 122 Right,6:40AM,0.18,BA
54776-1-HAL-F04-002,Across RM 122 Right,6:40AM,<0.50,BA
54776-1-HAL-F04-003,Across RM 122 Right,6:40AM,0.17,BA
54776-1-HAL-F04-004,Across RM 122 Right,6:40AM,<0.50,BA
54776-1-HAL-F04-005,Across RM 122 Right,6:40AM,<0.50,BA
54776-1-HAL-F05-001,Across RM 122 Middle,6:43AM,<0.50,BA
54776-1-HAL-F05-002,Across RM 122 Middle,6:43AM,<0.50,BA
54776-1-HAL-F05-003,Across RM 122 Middle,6:43AM,<0.50,BA
