schoolname,school,filename,score,num_fixtures,lat,long
Ace Tech Hs,Acetechhs,IndividualSchool_AceTechHS_400010.pdf,0.0,17,41.796122,-87.625849
Addams,Addams,Individualschool_Addams_609772.pdf,0.0058823529411764705,17,41.698739,-87.532976
Agassiz,Agassiz,Individualschool_Agassiz_609773.pdf,0.0,8,41.934126,-87.65622900000001
Air Force Hs,Airforcehs,IndividualSchool_AirForceHS_610513.pdf,0.0,18,41.828145,-87.632757
Alcott,Alcott,IndividualSchool_Alcott_609774.pdf,0.0,16,41.92985,-87.646413
Alcott Hs,Alcotths,IndividualSchool_AlcottHS_610524.pdf,0.0,11,41.935795,-87.680562
Aldridge,Aldridge,IndividualSchool_Aldridge_609848.pdf,0.0,17,41.657405,-87.606474
Amundsen Hs,Amundsen,IndividualSchool_Amundsen_609695.pdf,0.0,37,41.975066999999996,-87.679484
Ariel,Ariel,Individualschool_Ariel_609951.pdf,0.0,28,41.811173,-87.597503
Armour,Armour,IndividualSchool_Armour_609777.pdf,0.0,26,41.833853999999995,-87.650653
Armstrong,Armstrongg,Individualschool_ArmstrongG_609779.pdf,0.0,23,42.01015,-87.684442
Ashburn,Ashburn,Individualschool_Ashburn_610287.pdf,0.0,12,41.742351,-87.70961
Ashe,Ashe,IndividualSchool_Ashe_610268.pdf,0.0,13,41.740184,-87.601174
Aspira - Haugan,Aspirahaugan,IndividualSchool_AspiraHaugan_400017.pdf,0.0,22,41.966406,-87.721825
Audubon,Audubon,Individualschool_Audubon_609782.pdf,0.06153846153846154,13,41.945062,-87.68104100000001
Avalon Park,Avalonpark,Individualschool_AvalonPark_609786.pdf,0.0,15,41.748247,-87.591654
Azuela,Azuela,IndividualSchool_Azuela_610544.pdf,0.0,30,41.771079,-87.73992
Back Of The Yards Hs,Backoftheyardshs,IndividualSchool_BackOfTheYardsHS_610563.pdf,0.0,29,41.808413,-87.677541
Barnard,Barnard,Individualschool_Barnard_609788.pdf,0.0,9,41.705131,-87.658074
Barry,Barry,IndividualSchool_Barry_609789.pdf,0.0,12,41.932511,-87.739388
Barton,Barton,IndividualSchool_Barton_609790.pdf,0.0,6,41.754194,-87.670927
Bass,Bass,IndividualSchool_Bass_609791.pdf,0.0,15,41.774246000000005,-87.653532
Bateman,Bateman,Individualschool_Bateman_609792.pdf,0.0,27,41.958220000000004,-87.702151
Beard,Beard,Individualschool_Beard_610083.pdf,0.0,12,41.970125,-87.78963
Beasley,Beasley,Individualschool_Beasley_610246.pdf,0.06470588235294118,34,41.798465,-87.625692
Beaubien,Beaubien,Individualschool_beaubien_609796.pdf,0.05714285714285715,14,41.972394,-87.757565
Beethoven,Beethoven,Individualschool_Beethoven_610237.pdf,0.0,34,41.809135,-87.627137
Beidler,Beidler,Individualschool_Beidler_609797.pdf,0.06666666666666667,15,41.885321000000005,-87.705855
Belding,Belding,IndividualSchool_Belding_609798.pdf,0.0,19,41.958938,-87.73402
Bell,Bell,IndividualSchool_Bell_609799.pdf,0.0,17,41.949529999999996,-87.686018
Belmont-Cragin,Belmontcragin,Individualschool_BelmontCragin_609922.pdf,0.0,22,41.92015,-87.756843
Bennett,Bennett,Individualschool_Bennett_609800.pdf,0.0,25,41.710435,-87.61739
Blaine,Blaine,Individualschool_Blaine_609803.pdf,0.018181818181818184,22,41.950781,-87.664968
Blair,Blair,Individualschool_Blair_610087.pdf,0.144,25,41.776556,-87.790604
Bogan Hs,Bogan,IndividualSchool_Bogan_609698.pdf,0.03333333333333333,30,41.749376,-87.721097
Bond,Bond,Individualschool_Bond_610238.pdf,0.0,21,41.765361,-87.653018
Boone,Boone,IndividualSchool_Boone_609804.pdf,0.0,22,42.003412,-87.697463
Bouchet,Bouchet,Individualschool_Bouchet_609815.pdf,0.06153846153846154,26,41.760847,-87.576075
Bowen Hs,Bowenhs,IndividualSchool_BowenHS_610323.pdf,0.0,37,41.734627,-87.55755
Bradwell,Bradwell,IndividualSchool_Bradwell_609806.pdf,0.0,18,41.754365,-87.557142
Brennemann,Brennemann,Individualschool_Brennemann_610242.pdf,0.12307692307692308,13,41.959984000000006,-87.649749
Brentano,Brentano,Individualschool_Brentano_609809.pdf,0.05454545454545456,11,41.930966,-87.696294
Bridge,Bridge,Individualschool_bridge_609810.pdf,0.0,16,41.949114,-87.79866899999999
Bright,Bright,Individualschool_Bright_609811.pdf,0.0,11,41.699726,-87.562084
Brighton Park,Brightonpark,Individualschool_BrightonPark_610317.pdf,0.0,15,41.8239,-87.692077
Brooks Hs,Brookshs,IndividualSchool_BrooksHS_609726.pdf,0.0,33,41.692763,-87.616353
Brown R,Brownr,IndividualSchool_BrownR_610091.pdf,0.0,14,41.664873,-87.638958
Brown W,Brownw,IndividualSchool_BrownW_609812.pdf,0.0,16,41.882996999999996,-87.670682
Brunson,Brunson,IndividualSchool_Brunson_609830.pdf,0.008,25,41.897663,-87.765606
Budlong,Budlong,Individualschool_Budlong_609817.pdf,0.011111111111111112,18,41.975753999999995,-87.696556
