park_name,score,num_fixtures
Abbott,0.0,7
Ada,0.0,6
Adams (George & Adelle),0.4,5
Adams (John),0.0,1
Addam/Medil,0.0,1
Addams Memorial (Jane),0.0,1
Aiello,0.0,3
Algonquin,0.0,3
Altgeld,0.0,6
Amundsen,0.5,4
Anderson (Fred),0.0,6
Anderson (Louis),0.5,2
Andersonville,1.0,1
Arcade,1.0,1
Archer,0.09090909090909091,11
Armour Square,0.0,12
Armstrong,0.0,1
Ashe Beach,0.0,3
Ashmore,1.0,1
Aspen,0.0,2
Aster,0.0,1
Athletic Field,0.2,5
Augusta,0.0,4
Austin-Foster,1.0,2
Austin Town Hall,0.0,9
Avalon,0.4,15
Avondale,0.0,3
Barnard,0.3333333333333333,3
Barrett,0.0,1
Bartelme,0.0,5
Bauler,1.0,1
Beehive,0.0,2
Bell,0.5,2
Berger Cultural Ctr Annex,0.0,1
Berger,0.0,3
Bessemer,0.0,7
Beverly,0.16666666666666666,6
Birch,0.0,2
Bixler,0.0,2
Blackhawk,0.5,4
Blackwelder,0.0,3
Bogan,0.0,4
Bosley,0.0,1
Boswell,1.0,2
Brainerd,0.0,8
Bradley,0.5,2
Brands,0.14285714285714285,7
Brighton,0.0,3
Broadway Armory,0.0,3
Bromann,0.0,3
Bronco Billy,0.0,2
Brooks (Gwendolyn),0.0,2
Brooks (Oscar),0.6,5
Brown Memorial,1.0,2
Brynford,0.0,2
Burnham,0.1346153846153846,52
Burnside,0.0,3
Buttercup,0.0,3
Catalpa,0.0,1
California,0.16666666666666666,6
Calumet,0.05263157894736842,19
Carver,0.0,7
Cedar,0.0,3
Central Playlot,0.0,2
Challenger,0.0,3
Chase,0.2727272727272727,11
Chestnut,1.0,2
Chicago Women's,0.0,3
Chippewa,0.0,2
Chopin,0.2,5
Churchill,0.0,6
Citizens Memorial,1.0,1
Clarendon,0.08333333333333333,12
Clark (John),0.0,2
Clark (Richard),0.0,4
Clark Boathouse,0.0,2
Claremont,0.0,3
Clover,1.0,2
Clybourn,1.0,2
Cochran,1.0,2
Cole,0.42857142857142855,7
Coleman,1.0,1
Coliseum,0.0,4
Columbus,0.0,15
Columbus Athletic Building,0.0,1
Columbus Refectory,0.0,1
Commercial Club,0.0,5
Cooper,0.0,4
Cornell,1.0,2
Cornell Square,0.0,8
Cosme,0.0,3
Cotton Tail,0.0,4
Cragin,0.0,3
Cresent,0.0,1
Daley (Richard),0.0,2
Davis (M.),0.0,1
Davis Square,0.1111111111111111,9
Dawes,0.16666666666666666,6
Dean,0.0,3
Dearborn,1.0,4
Debow,1.0,1
De Burgos,0.0,3
DeJulio,1.0,2
D'Elia,1.0,2
Dickinson,0.0,3
Dixon,0.0,2
Dogwood,1.0,1
Donahue,0.0,3
Don Nash Community Center,0.0,5
Donovan,0.5,2
Dougherty,0.0,1
Douglas,0.14285714285714285,14
Drexel,1.0,1
Dubkin,0.0,2
Dunbar,0.2222222222222222,9
Dunham,0.2222222222222222,9
Durkin,0.0,3
Dvorak,0.23076923076923078,13
Eckersall,0.0,2
Eckhart,0.0,9
Edgebrook,0.0,2
Edison,0.0,1
Edmonds,0.0,2
Ellis,0.2857142857142857,7
Elm,0.0,1
Emerald,1.0,1
Emmerson,0.5,2
Erhler,0.0,1
Essex,0.0,3
Euclid,0.0,6
Eugene Field,0.21428571428571427,14
Fellger,0.0,2
Fernwood,0.25,4
Filbert,0.0,3
Flower,0.0,3
Flying Squirrel,0.0,1
Forest Glen,0.0,3
Fosco,0.0,19
Foster,0.2,15
Franklin,0.1111111111111111,9
Fuller,0.25,12
Gage,0.1875,16
Galewood,0.0,3
Garfield,0.09523809523809523,21
Garibaldi,0.0,1
Gately,0.5,2
Gill,0.42857142857142855,7
Gladstone,0.6666666666666666,3
Gladys,0.0,1
Goldberg,1.0,2
Golden Gate,0.0,2
Gooseberry,1.0,1
Gompers,0.375,16
Goudy,0.0,3
Grand Playlot,1.0,1
Grand Crossing,0.0,11
Grant,0.16666666666666666,66
Grape,1.0,1
Graver,0.0,3
Green,1.0,1
Greenbaum,0.0,5
Green Briar,0.4,5
Griffin,1.0,1
Gross,1.0,2
Haas,0.0,6
Hale,0.1,10
Hamilton,0.0,9
Hamlin,0.5,6
Hansberry,0.0,1
Harding (Frederick),0.0,1
Harding (George),0.0,1
Harris,0.0,7
Harrison,0.0,8
Hartigan Beach,0.0,3
Hayes,0.18181818181818182,11
Hazelnut,0.0,1
Hermitage,0.0,4
Hermosa,0.0,3
Hiawatha,0.14285714285714285,7
Hickory,0.0,2
Hoard,0.0,1
Hollywood,0.3333333333333333,3
Holstein,0.2,5
Homan Square,0.0,6
Honeysuckle,1.0,2
Horan,0.0,2
Hornbeam,0.0,1
Horner,0.5,26
Houston,0.0,2
Hoyne,0.0,2
Huckleberry,0.0,1
Humbert,0.0,2
Humboldt,0.20588235294117646,34
Hurley,0.0,3
Independence,0.18181818181818182,11
Indian Boundary,0.625,8
Indian Road,0.42857142857142855,7
