Sample ID #,Sample Location,Sample Collection Time & Date,Test Result (ppb),Test Results
51426-1-101-F01-001,"Main- 1st Floor Inside Room 101, Fountain",9/21/16 6:00 AM,7.2,BA
51426-1-101-F01-002,"Main- 1st Floor Inside Room 101, Fountain",9/21/16 6:00 AM,3.2,BA
51426-1-101-F01-003,"Main- 1st Floor Inside Room 101, Fountain",9/21/16 6:00 AM,3.1,BA
51426-1-101-F01-004,"Main- 1st Floor Inside Room 101, Fountain",9/21/16 6:00 AM,3,BA
51426-1-101-F01-005,"Main- 1st Floor Inside Room 101, Fountain",9/21/16 6:00 AM,3,BA
51426-1-104-F04-001,"Main- 1st Floor Inside Room 104, Fountain",9/21/16 6:00 AM,6.4,BA
51426-1-104-F04-002,"Main- 1st Floor Inside Room 104, Fountain",9/21/16 6:00 AM,2.6,BA
51426-1-104-F04-003,"Main- 1st Floor Inside Room 104, Fountain",9/21/16 6:00 AM,2.5,BA
51426-1-104-F04-004,"Main- 1st Floor Inside Room 104, Fountain",9/21/16 6:00 AM,2.6,BA
51426-1-104-F04-005,"Main- 1st Floor Inside Room 104, Fountain",9/21/16 6:00 AM,2.4,BA
51426-1-104-F04-006,"Main- 1st Floor Inside Room 105, Fountain",9/21/16 6:00 AM,4,BA
51426-1-105-F05-002,"Main- 1st Floor Inside Room 105, Fountain",9/21/16 6:00 AM,2.9,BA
51426-1-105-F05-003,"Main- 1st Floor Inside Room 105, Fountain",9/21/16 6:00 AM,2.6,BA
51426-1-105-F05-004,"Main- 1st Floor Inside Room 105, Fountain",9/21/16 6:00 AM,2.2,BA
51426-1-105-F05-005,"Main- 1st Floor Inside Room 105, Fountain",9/21/16 6:00 AM,2.1,BA
51426-1-108-F08-001,"Main- 1st Floor Inside Room 108, Fountain",9/21/16 6:00 AM,17,AA
51426-1-108-F08-002,"Main- 1st Floor Inside Room 108, Fountain",9/21/16 6:00 AM,7,BA
51426-1-108-F08-003,"Main- 1st Floor Inside Room 108, Fountain",9/21/16 6:00 AM,4.2,BA
51426-1-108-F08-004,"Main- 1st Floor Inside Room 108, Fountain",9/21/16 6:00 AM,3,BA
51426-1-108-F08-005,"Main- 1st Floor Inside Room 108, Fountain",9/21/16 6:00 AM,2.7,BA
51426-1-HAL-F09-001,"Main-1st Floor Between Boys/Girls Bathroom Right, Fountain",9/21/16 6:00 AM,<2.0,ND
51426-1-HAL-F09-002,"Main-1st Floor Between Boys/Girls Bathroom Right, Fountain",9/21/16 6:00 AM,<2.0,ND
51426-1-HAL-F09-003,"Main-1st Floor Between Boys/Girls Bathroom Right, Fountain",9/21/16 6:00 AM,<2.0,ND
51426-1-HAL-F09-004,"Main-1st Floor Between Boys/Girls Bathroom Right, Fountain",9/21/16 6:00 AM,<2.0,ND
51426-1-HAL-F09-005,"Main-1st Floor Between Boys/Girls Bathroom Right, Fountain",9/21/16 6:00 AM,<2.0,ND
51426-1-HAL-F10-001,"Main-1st Floor Between Boys/Girls Bathroom Center, Fountain",9/21/16 6:00 AM,<2.0,ND
51426-1-HAL-F10-002,"Main-1st Floor Between Boys/Girls Bathroom Center, Fountain",9/21/16 6:00 AM,<2.0,ND
51426-1-HAL-F10-003,"Main-1st Floor Between Boys/Girls Bathroom Center, Fountain",9/21/16 6:00 AM,<2.0,ND
51426-1-HAL-F10-004,"Main-1st Floor Between Boys/Girls Bathroom Center, Fountain",9/21/16 6:00 AM,<2.0,ND
51426-1-HAL-F10-005,"Main-1st Floor Between Boys/Girls Bathroom Center, Fountain",9/21/16 6:00 AM,<2.0,ND
51426-1-HAL-F11-001,"Main-1st Floor Between Boys/Girls Bathroom Left, Fountain",9/21/16 6:00 AM,<2.0,ND
51426-1-HAL-F11-002,"Main-1st Floor Between Boys/Girls Bathroom Left, Fountain",9/21/16 6:00 AM,<2.0,ND
51426-1-HAL-F11-003,"Main-1st Floor Between Boys/Girls Bathroom Left, Fountain",9/21/16 6:00 AM,<2.0,ND
51426-1-HAL-F11-004,"Main-1st Floor Between Boys/Girls Bathroom Left, Fountain",9/21/16 6:00 AM,<2.0,ND
51426-1-HAL-F11-005,"Main-1st Floor Between Boys/Girls Bathroom Left, Fountain",9/21/16 6:00 AM,<2.0,ND
51426-1-109-S12-001,"Main- 1st Floor Inside Room 109, Sink",9/21/16 6:00 AM,<2.0,ND
