Sample ID #,Sample Location,Sample Collection Time & Date,Test Result (ppb),Test Results
51174-1-108-S01-01,RM 108,6:15AM,3.1,BA
51174-1-108-S01-02,RM 108,6:15AM,2.2,BA
51174-1-108-S01-03,RM 108,6:15AM,1.8,BA
51174-1-108-S01-04,RM 108,6:15AM,1.8,BA
51174-1-108-S01-05,RM 108,6:15AM,1.4,BA
51174-1-108-F01-01,RM 108,6:20AM,6,BA
51174-1-108-F01-02,RM 108,6:20AM,7.9,BA
51174-1-108-F01-03,RM 108,6:20AM,5.6,BA
51174-1-108-F01-04,RM 108,6:20AM,3.7,BA
51174-1-108-F01-05,RM 108,6:20AM,2.9,BA
51174-1-110-S01-01,RM 110,6:25AM,1.2,BA
51174-1-110-S01-02,RM 111,6:25AM,0.98,BA
51174-1-110-S01-03,RM 112,6:25AM,0.88,BA
51174-1-110-S01-04,RM 113,6:25AM,0.89,BA
51174-1-110-S01-05,RM 114,6:25AM,0.79,BA
51174-1-KIT-KS01-01,Kitchen,6:30AM,1.2,BA
51174-1-KIT-KS01-02,Kitchen,6:30AM,1.4,BA
51174-1-KIT-KS01-03,Kitchen,6:30AM,1.1,BA
51174-1-KIT-KS01-04,Kitchen,6:30AM,0.95,BA
51174-1-KIT-KS01-05,Kitchen,6:30AM,1.1,BA
51174-1-KIT-KS02-01,Kitchen,6:35AM,0.81,BA
51174-1-KIT-KS02-02,Kitchen,6:35AM,1.1,BA
51174-1-KIT-KS02-03,Kitchen,6:35AM,1.2,BA
51174-1-KIT-KS02-04,Kitchen,6:35AM,1.3,BA
51174-1-KIT-KS02-05,Kitchen,6:35AM,1.2,BA
51174-1-KIT-KS03-01,Kitchen,6:40AM,1.3,BA
51174-1-KIT-KS03-02,Kitchen,6:40AM,1.6,BA
51174-1-KIT-KS03-03,Kitchen,6:40AM,1.1,BA
51174-1-KIT-KS03-04,Kitchen,6:40AM,1,BA
51174-1-KIT-KS03-05,Kitchen,6:40AM,1.1,BA
51174-1-HAL-F01-01,Next to RM 101,6:45AM,1.1,BA
51174-1-HAL-F01-02,Next to RM 101,6:45AM,1.1,BA
51174-1-HAL-F01-03,Next to RM 101,6:45AM,0.9,BA
51174-1-HAL-F01-04,Next to RM 101,6:45AM,0.74,BA
51174-1-HAL-F01-05,Next to RM 101,6:45AM,0.33,BA
51174-1-HAL-F02-01,Next to RM 101,6:50AM,0.67,BA
51174-1-HAL-F02-02,Next to RM 101,6:50AM,0.22,BA
51174-1-HAL-F02-03,Next to RM 101,6:50AM,0.087,BA
51174-1-HAL-F02-04,Next to RM 101,6:50AM,0.13,BA
51174-1-HAL-F02-05,Next to RM 101,6:50AM,<0.30,BA
51174-1-HAL-F03-01,Outside Kitchen,6:55AM,2.7,BA
51174-1-HAL-F03-02,Outside Kitchen,6:55AM,1.6,BA
51174-1-HAL-F03-03,Outside Kitchen,6:55AM,0.85,BA
51174-1-HAL-F03-04,Outside Kitchen,6:55AM,0.74,BA
51174-1-HAL-F03-05,Outside Kitchen,6:55AM,0.66,BA
51174-1-HAL-F04-01,Outside Kitchen,7:00AM,2.7,BA
51174-1-HAL-F04-02,Outside Kitchen,7:00AM,0.86,BA
51174-1-HAL-F04-03,Outside Kitchen,7:00AM,0.8,BA
51174-1-HAL-F04-04,Outside Kitchen,7:00AM,0.88,BA
51174-1-HAL-F04-05,Outside Kitchen,7:00AM,0.79,BA
51174-3-HAL-WC01-01,Across RM 304,7:05AM,0.69,BA
51174-3-HAL-WC01-02,Across RM 304,7:05AM,0.42,BA
51174-3-HAL-WC01-03,Across RM 304,7:05AM,0.17,BA
51174-3-HAL-WC01-04,Across RM 304,7:05AM,<0.30,BA
51174-3-HAL-WC01-05,Across RM 304,7:05AM,0.13,BA
51174-3-HAL-F01-01,Across RM 304,7:10AM,0.17,BA
51174-3-HAL-F01-02,Across RM 304,7:10AM,0.11,BA
51174-3-HAL-F01-03,Across RM 304,7:10AM,<0.30,BA
51174-3-HAL-F01-04,Across RM 304,7:10AM,<0.30,BA
51174-3-HAL-F01-05,Across RM 304,7:10AM,0.097,BA
51174-3-HAL-F02-01,Across RM 304,7:15AM,1.1,BA
51174-3-HAL-F02-02,Across RM 304,7:15AM,0.16,BA
51174-3-HAL-F02-03,Across RM 304,7:15AM,0.15,BA
51174-3-HAL-F02-04,Across RM 304,7:15AM,0.13,BA
51174-3-HAL-F02-05,Across RM 304,7:20AM,0.11,BA
51174-2-HAL-WC01-01,Across Rm 204,7:20AM,1.2,BA
51174-2-HAL-WC01-02,Across Rm 204,7:20AM,0.57,BA
51174-2-HAL-WC01-03,Across Rm 204,7:20AM,0.25,BA
51174-2-HAL-WC01-04,Across Rm 204,7:20AM,0.17,BA
51174-2-HAL-WC01-05,Across Rm 204,7:20AM,0.2,BA
51174-2-HAL-F01-01,Across Rm 204,7:25AM,0.095,BA
51174-2-HAL-F01-02,Across Rm 204,7:25AM,<0.30,BA
51174-2-HAL-F01-03,Across Rm 204,7:25AM,<0.30,BA
51174-2-HAL-F01-04,Across Rm 204,7:25AM,<0.30,BA
51174-2-HAL-F01-05,Across Rm 204,7:25AM,<0.30,BA
51174-2-HAL-F02-01,Across Rm 204,7:30AM,1.4,BA
51174-2-HAL-F02-02,Across Rm 204,7:30AM,0.39,BA
51174-2-HAL-F02-03,Across Rm 204,7:30AM,0.23,BA
51174-2-HAL-F02-04,Across Rm 204,7:30AM,0.19,BA
51174-2-HAL-F02-05,Across Rm 204,7:30AM,0.18,BA
