""
"",School Short Name,,Facility ID,,Sample ID #,,Sample Location,,"Sample CollectionTime & Date",,Test Result (ppb),,Test Results,
"",Collins,51569,51569-B-KIT-KS01-001,"Main- Basement Kitchen 3 Compartment Sink, Left Faucet",10/14/16 6:00 AM,<2.0,ND,,,,,,,
"",Collins,51569,51569-B-KIT-KS01-002,"Main- Basement Kitchen 3 Compartment Sink, Left Faucet",10/14/16 6:00 AM,<2.0,ND,,,,,,,
"",Collins,51569,51569-B-KIT-KS01-003,"Main- Basement Kitchen 3 Compartment Sink, Left Faucet",10/14/16 6:00 AM,<2.0,ND,,,,,,,
"",Collins,51569,51569-B-KIT-KS01-004,"Main- Basement Kitchen 3 Compartment Sink, Left Faucet",10/14/16 6:00 AM,<2.0,ND,,,,,,,
"",Collins,51569,51569-B-KIT-KS01-005,"Main- Basement Kitchen 3 Compartment Sink, Left Faucet",10/14/16 6:00 AM,<2.0,ND,,,,,,,
"",Collins,51569,51569-B-KIT-KS02-001,"Main- Basement Kitchen 3 Compartment Sink, Right Faucet",10/14/16 6:00 AM,4.4,BA,,,,,,,
"",Collins,51569,51569-B-KIT-KS02-002,"Main- Basement Kitchen 3 Compartment Sink, Right Faucet",10/14/16 6:00 AM,<2.0,ND,,,,,,,
"",Collins,51569,51569-B-KIT-KS02-003,"Main- Basement Kitchen 3 Compartment Sink, Right Faucet",10/14/16 6:00 AM,<2.0,ND,,,,,,,
"",Collins,51569,51569-B-KIT-KS02-004,"Main- Basement Kitchen 3 Compartment Sink, Right Faucet",10/14/16 6:00 AM,<2.0,ND,,,,,,,
"",Collins,51569,51569-B-KIT-KS02-005,"Main- Basement Kitchen 3 Compartment Sink, Right Faucet",10/14/16 6:00 AM,<2.0,ND,,,,,,,
"",Collins,51569,51569-B-KIT-KS03-001,"Main- Basement Kitchen 3 Compartment Sink, Center Faucet",10/14/16 6:00 AM,<2.0,ND,,,,,,,
"",Collins,51569,51569-B-KIT-KS03-002,"Main- Basement Kitchen 3 Compartment Sink, Center Faucet",10/14/16 6:00 AM,<2.0,ND,,,,,,,
"",Collins,51569,51569-B-KIT-KS03-003,"Main- Basement Kitchen 3 Compartment Sink, Center Faucet",10/14/16 6:00 AM,<2.0,ND,,,,,,,
"",Collins,51569,51569-B-KIT-KS03-004,"Main- Basement Kitchen 3 Compartment Sink, Center Faucet",10/14/16 6:00 AM,<2.0,ND,,,,,,,
"",Collins,51569,51569-B-KIT-KS03-005,"Main- Basement Kitchen 3 Compartment Sink, Center Faucet",10/14/16 6:00 AM,<2.0,ND,,,,,,,
"",Collins,51569,51569-B-KIT-KS04-001,"Main- Basement Kitchen By Freezer, Sink",10/14/16 6:00 AM,<2.0,ND,,,,,,,
"",Collins,51569,51569-B-KIT-KS04-002,"Main- Basement Kitchen By Freezer, Sink",10/14/16 6:00 AM,<2.0,ND,,,,,,,
"",Collins,51569,51569-B-KIT-KS04-003,"Main- Basement Kitchen By Freezer, Sink",10/14/16 6:00 AM,<2.0,ND,,,,,,,
"",Collins,51569,51569-B-KIT-KS04-004,"Main- Basement Kitchen By Freezer, Sink",10/14/16 6:00 AM,<2.0,ND,,,,,,,
"",Collins,51569,51569-B-KIT-KS04-005,"Main- Basement Kitchen By Freezer, Sink",10/14/16 6:00 AM,<2.0,ND,,,,,,,
"",Collins,51569,51569-B-KIT-ST05-001,Main- Basement Kitchen Stove Top Faucet,10/14/16 6:00 AM,290,AA,,,,,,,
"",Collins,51569,51569-B-KIT-ST05-002,Main- Basement Kitchen Stove Top Faucet,10/14/16 6:00 AM,80,AA,,,,,,,
"",Collins,51569,51569-B-KIT-ST05-003,Main- Basement Kitchen Stove Top Faucet,10/14/16 6:00 AM,21,AA,,,,,,,
"",Collins,51569,51569-B-KIT-ST05-004,Main- Basement Kitchen Stove Top Faucet,10/14/16 6:00 AM,22,AA,,,,,,,
"",Collins,51569,51569-B-KIT-ST05-005,Main- Basement Kitchen Stove Top Faucet,10/14/16 6:00 AM,27,AA,,,,,,,
"",Collins,51569,51569-B-KIT-TS06-001,"Main- Basement Kitchen Tilted Skillet, Toward West Wall, Sink",10/14/16 6:00 AM,<2.0,ND,,,,,,,
"",Collins,51569,51569-B-KIT-TS06-002,"Main- Basement Kitchen Tilted Skillet, Toward West Wall, Sink",10/14/16 6:00 AM,<2.0,ND,,,,,,,
"",Collins,51569,51569-B-KIT-TS06-003,"Main- Basement Kitchen Tilted Skillet, Toward West Wall, Sink",10/14/16 6:00 AM,<2.0,ND,,,,,,,
"",Collins,51569,51569-B-KIT-TS06-004,"Main- Basement Kitchen Tilted Skillet, Toward West Wall, Sink",10/14/16 6:00 AM,<2.0,ND,,,,,,,
"",Collins,51569,51569-B-KIT-TS06-005,"Main- Basement Kitchen Tilted Skillet, Toward West Wall, Sink",10/14/16 6:00 AM,<2.0,ND,,,,,,,
"",Collins,51569,51569-B-KIT-KS07-001,"Main- Basment Kitchen, In Front of Stove, Island Sink",10/14/16 6:00 AM,<2.0,ND,,,,,,,
"",Collins,51569,51569-B-KIT-KS07-002,"Main- Basment Kitchen, In Front of Stove, Island Sink",10/14/16 6:00 AM,<2.0,ND,,,,,,,
"",Collins,51569,51569-B-KIT-KS07-003,"Main- Basment Kitchen, In Front of Stove, Island Sink",10/14/16 6:00 AM,<2.0,ND,,,,,,,
"",Collins,51569,51569-B-KIT-KS07-004,"Main- Basment Kitchen, In Front of Stove, Island Sink",10/14/16 6:00 AM,<2.0,ND,,,,,,,
"",Collins,51569,51569-B-KIT-KS07-005,"Main- Basment Kitchen, In Front of Stove, Island Sink",10/14/16 6:00 AM,<2.0,ND,,,,,,,
"",Collins,51569,51569-B-HAL-F08-001,"Main- Basement Outside Kitchen, Fountain",10/14/16 6:00 AM,30,AA,,,,,,,
"",7.1,BA,,,,,,
"",Collins,51569,51569-B-HAL-F08-003,"Main- Basement Outside Kitchen, Fountain",10/14/16 6:00 AM,6.3,BA,
"",Collins,51569,51569-B-HAL-F08-004,"Main- Basement Outside Kitchen, Fountain",10/14/16 6:00 AM,7.1,BA,
"",Collins,51569,51569-B-HAL-F08-005,"Main- Basement Outside Kitchen, Fountain",10/14/16 6:00 AM,7.5,BA,
"",Collins,51569,51569-2-HAL-F01-001,"Main- 2nd Floor Across From Room 237, Left Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,51569,51569-2-HAL-F01-002,"Main- 2nd Floor Across From Room 237, Left Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,51569,51569-2-HAL-F01-003,"Main- 2nd Floor Across From Room 237, Left Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,51569,51569-2-HAL-F01-004,"Main- 2nd Floor Across From Room 237, Left Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,51569,51569-2-HAL-F01-005,"Main- 2nd Floor Across From Room 237, Left Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,51569,51569-2-HAL-F02-001,"Main- 2nd Floor Across From Room 237, Right Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,51569,51569-2-HAL-F02-002,"Main- 2nd Floor Across From Room 237, Right Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,51569,51569-2-HAL-F02-003,"Main- 2nd Floor Across From Room 237, Right Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,51569,51569-2-HAL-F02-004,"Main- 2nd Floor Across From Room 237, Right Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,51569,51569-2-HAL-F02-005,"Main- 2nd Floor Across From Room 237, Right Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,51569,51569-2-HAL-WC03-001,"Main- 2nd Floor Across From Cafeteria, Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,51569,51569-2-HAL-WC03-002,"Main- 2nd Floor Across From Cafeteria, Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,51569,51569-2-HAL-WC03-003,"Main- 2nd Floor Across From Cafeteria, Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,51569,51569-2-HAL-WC03-004,"Main- 2nd Floor Across From Cafeteria, Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,51569,51569-2-HAL-WC03-005,"Main- 2nd Floor Across From Cafeteria, Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,51569,51569-2-KIT-KS04-001,"Main- 2nd Floor Kitchen, Sink",10/14/16 6:00 AM,3.5,BA,
"",Collins,51569,51569-2-KIT-KS04-002,"Main- 2nd Floor Kitchen, Sink",10/14/16 6:00 AM,4.3,BA,
"",Collins,51569,51569-2-KIT-KS04-003,"Main- 2nd Floor Kitchen, Sink",10/14/16 6:00 AM,4.7,BA,
"",Collins,51569,51569-2-KIT-KS04-004,"Main- 2nd Floor Kitchen, Sink",10/14/16 6:00 AM,4.3,BA,
"",Collins,51569,51569-2-KIT-KS04-005,"Main- 2nd Floor Kitchen, Sink",10/14/16 6:00 AM,2.6,BA,
"",Collins,51569,51569-3-HAL-F01-001,"Main- 3rd Floor Across From Room 318, Left Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,51569,51569-3-HAL-F01-002,"Main- 3rd Floor Across From Room 318, Left Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,51569,51569-3-HAL-F01-003,"Main- 3rd Floor Across From Room 318, Left Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,51569,51569-3-HAL-F01-004,"Main- 3rd Floor Across From Room 318, Left Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,51569,51569-3-HAL-F01-005,"Main- 3rd Floor Across From Room 318, Left Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,51569,51569-3-HAL-F02-001,"Main- 3rd Floor Across From Room 318, Right Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,51569,51569-3-HAL-F02-002,"Main- 3rd Floor Across From Room 318, Right Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,51569,51569-3-HAL-F02-003,"Main- 3rd Floor Across From Room 318, Right Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,51569,51569-3-HAL-F02-004,"Main- 3rd Floor Across From Room 318, Right Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,51569,51569-3-HAL-F02-005,"Main- 3rd Floor Across From Room 318, Right Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,51569,51569-3-HAL-WC03-001,"Main- 3rd Floor Across From Cafeteria, Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,51569,51569-3-HAL-WC03-002,"Main- 3rd Floor Across From Cafeteria, Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,51569,51569-3-HAL-WC03-003,"Main- 3rd Floor Across From Cafeteria, Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,51569,51569-3-HAL-WC03-004,"Main- 3rd Floor Across From Cafeteria, Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,51569,51569-3-HAL-WC03-005,"Main- 3rd Floor Across From Cafeteria, Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,51569,51569-3-KIT-KS04-001,"Main- 3rd Floor Kitchen, Sink",10/14/16 6:00 AM,<2.0,ND,
"",Collins,51569,51569-3-KIT-KS04-002,"Main- 3rd Floor Kitchen, Sink",10/14/16 6:00 AM,<2.0,ND,
"",Collins,51569,51569-3-KIT-KS04-003,"Main- 3rd Floor Kitchen, Sink",10/14/16 6:00 AM,<2.0,ND,
