School Short Name,Facility ID,Sample ID #,Sample Location,Water Last Used (Time & Date),Test Result (ppb),Test Results
Juarez HS,51570,51570-1-KIT-KS01-01,3-Basin Sink Left,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-1-KIT-KS01-02,3-Basin Sink Left,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-1-KIT-KS01-03,3-Basin Sink Left,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-1-KIT-KS01-04,3-Basin Sink Left,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-1-KIT-KS01-05,3-Basin Sink Left,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-1-KIT-KS02-01,3-Basin Sink Right,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-1-KIT-KS02-02,3-Basin Sink Right,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-1-KIT-KS02-03,3-Basin Sink Right,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-1-KIT-KS02-04,3-Basin Sink Right,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-1-KIT-KS02-05,3-Basin Sink Right,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-1-KIT-KS03-01,North Farthest Sink Across Fridges,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-1-KIT-KS03-02,North Farthest Sink Across Fridges,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-1-KIT-KS03-03,North Farthest Sink Across Fridges,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-1-KIT-KS03-04,North Farthest Sink Across Fridges,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-1-KIT-KS03-05,North Farthest Sink Across Fridges,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-1-KIT-KS04-01,North Sink Facing Grill on Prep Table,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-1-KIT-KS04-02,North Sink Facing Grill on Prep Table,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-1-KIT-KS04-03,North Sink Facing Grill on Prep Table,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-1-KIT-KS04-04,North Sink Facing Grill on Prep Table,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-1-KIT-KS04-05,North Sink Facing Grill on Prep Table,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-1-KIT-KS05-01,Sink across Grill,10PM 10/13/2016,ND,ND
Juarez HS,51570,10PM 10/13/2016,ND,,,
Juarez HS,51570,51570-1-KIT-KS05-03,Sink across Grill,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-1-KIT-KS05-04,Sink across Grill,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-1-KIT-KS05-05,Sink across Grill,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-1-CAF-F01-01,Fountain across serving line,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-1-CAF-F01-02,Fountain across serving line,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-1-CAF-F01-03,Fountain across serving line,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-1-CAF-F01-04,Fountain across serving line,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-1-CAF-F01-05,Fountain across serving line,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-1-HAL-F01-01,Left side of lobby left Fountain,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-1-HAL-F01-02,Left side of lobby left Fountain,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-1-HAL-F01-03,Left side of lobby left Fountain,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-1-HAL-F01-04,Left side of lobby left Fountain,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-1-HAL-F01-05,Left side of lobby left Fountain,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-1-HAL-F02-01,Left side of Lobby Right Fountain,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-1-HAL-F02-02,Left side of Lobby Right Fountain,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-1-HAL-F02-03,Left side of Lobby Right Fountain,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-1-HAL-F02-04,Left side of Lobby Right Fountain,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-1-HAL-F02-05,Left side of Lobby Right Fountain,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-1-HAL-F03-01,"Across treadmills, back of luncroom",10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-1-HAL-F03-02,"Across treadmills, back of luncroom",10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-1-HAL-F03-03,"Across treadmills, back of luncroom",10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-1-HAL-F03-04,"Across treadmills, back of luncroom",10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-1-HAL-F03-05,"Across treadmills, back of luncroom",10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-1-HAL-F04-01,Right side of Lobby Left fountain,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-1-HAL-F04-02,Right side of Lobby Left fountain,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-1-HAL-F04-03,Right side of Lobby Left fountain,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-1-HAL-F04-04,Right side of Lobby Left fountain,10PM 10/13/2016,ND,ND
Juarez HS,51570,10PM 10/13/2016,ND,,,
Juarez HS,51570,51570-1-HAL-F05-01,Right side of Lobby Right Fountain,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-1-HAL-F05-02,Right side of Lobby Right Fountain,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-1-HAL-F05-03,Right side of Lobby Right Fountain,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-1-HAL-F05-04,Right side of Lobby Right Fountain,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-1-HAL-F05-05,Right side of Lobby Right Fountain,10PM 10/13/2016,ND,ND
