Sample ID #,Sample Location,"Sample Collection Time &Date",Test Result (ppb),Test Results
1-C-CS01-01,Kitchen,6/7/16 6:08 AM,None Detected,ND
1-C-CS01-02,Kitchen,6/7/16 6:08 AM,None Detected,ND
1-C-CS01-03,Kitchen,6/7/16 6:08 AM,None Detected,ND
1-C-CS01-04,Kitchen,6/7/16 6:08 AM,None Detected,ND
1-C-CS01-05,Kitchen,6/7/16 6:08 AM,None Detected,ND
1-E-CS01-06,Kitchen,6/7/16 6:10 AM,None Detected,ND
1-E-CS01-07,Kitchen,6/7/16 6:10 AM,None Detected,ND
1-E-CS01-08,Kitchen,6/7/16 6:10 AM,None Detected,ND
1-E-CS01-09,Kitchen,6/7/16 6:10 AM,None Detected,ND
1-E-CS01-10,Kitchen,6/7/16 6:10 AM,None Detected,ND
1-W-CS01-11,Kitchen,6/7/16 6:12 AM,None Detected,ND
1-W-CS01-12,Kitchen,6/7/16 6:12 AM,None Detected,ND
1-W-CS01-13,Kitchen,6/7/16 6:12 AM,None Detected,ND
1-W-CS01-14,Kitchen,6/7/16 6:12 AM,None Detected,ND
1-W-CS01-15,Kitchen,6/7/16 6:12 AM,None Detected,ND
1-SE-CS01-16,Kitchen for Washing Dishes,6/7/16 6:17 AM,None Detected,ND
1-SE-CS01-17,Kitchen for Washing Dishes,6/7/16 6:17 AM,None Detected,ND
1-SE-CS01-18,Kitchen for Washing Dishes,6/7/16 6:17 AM,None Detected,ND
1-SE-CS01-19,Kitchen for Washing Dishes,6/7/16 6:17 AM,None Detected,ND
1-SE-CS01-20,Kitchen for Washing Dishes,6/7/16 6:17 AM,None Detected,ND
1-SW-CS01-21,Kitchen for Washing Dishes,6/7/16 6:23 AM,None Detected,ND
1-SW-CS01-22,Kitchen for Washing Dishes,6/7/16 6:23 AM,6.29,BA
1-SW-CS01-23,Kitchen for Washing Dishes,6/7/16 6:23 AM,None Detected,ND
1-SW-CS01-24,Kitchen for Washing Dishes,6/7/16 6:23 AM,None Detected,ND
1-SW-CS01-25,Kitchen for Washing Dishes,6/7/16 6:23 AM,None Detected,ND
1-NW-F01-26,Room 116 - Kindergarten,6/7/16 6:39 AM,None Detected,ND
1-NW-F01-27,Room 116 - Kindergarten,6/7/16 6:39 AM,None Detected,ND
1-NW-F01-28,Room 116 - Kindergarten,6/7/16 6:39 AM,None Detected,ND
1-NW-F01-29,Room 116 - Kindergarten,6/7/16 6:39 AM,None Detected,ND
1-NW-F01-30,Room 116 - Kindergarten,6/7/16 6:39 AM,None Detected,ND
1-SE-F01-31,Room 113,6/7/16 6:42 AM,None Detected,ND
1-SE-F01-32,Room 113,6/7/16 6:42 AM,None Detected,ND
1-SE-F01-33,Room 113,6/7/16 6:42 AM,None Detected,ND
1-SE-F01-34,Room 113,6/7/16 6:42 AM,None Detected,ND
1-SE-F01-35,Room 113,6/7/16 6:42 AM,None Detected,ND
1-C-F01-36,Room 114,6/7/16 6:47 AM,None Detected,ND
1-C-F01-37,Room 114,6/7/16 6:47 AM,None Detected,ND
1-C-F01-38,Room 114,6/7/16 6:47 AM,None Detected,ND
1-C-F01-39,Room 114,6/7/16 6:47 AM,None Detected,ND
1-C-F01-40,Room 114,6/7/16 6:47 AM,None Detected,ND
1-W-F02-41,Between Stairs and Boys Restroom,6/7/16 7:02 AM,None Detected,ND
1-W-F02-42,Between Stairs and Boys Restroom,6/7/16 7:02 AM,None Detected,ND
1-W-F02-43,Between Stairs and Boys Restroom,6/7/16 7:02 AM,None Detected,ND
1-W-F02-44,Between Stairs and Boys Restroom,6/7/16 7:02 AM,None Detected,ND
1-W-F02-45,Between Stairs and Boys Restroom,6/7/16 7:02 AM,None Detected,ND
1-NE-F01-46,Hallway between Room 101 and 102,6/7/16 7:11 AM,None Detected,ND
1-NE-F01-47,Hallway between Room 101 and 102,6/7/16 7:11 AM,None Detected,ND
1-NE-F01-48,Hallway between Room 101 and 102,6/7/16 7:11 AM,None Detected,ND
1-NE-F01-49,Hallway between Room 101 and 102,6/7/16 7:11 AM,None Detected,ND
1-NE-F01-50,Hallway between Room 101 and 102,6/7/16 7:11 AM,None Detected,ND
1-NE-F02-51,Hallway between Room 101 and 102,6/7/16 7:15 AM,None Detected,ND
1-NE-F02-52,Hallway between Room 101 and 102,6/7/16 7:15 AM,None Detected,ND
1-NE-F02-53,Hallway between Room 101 and 102,6/7/16 7:15 AM,None Detected,ND
1-NE-F02-54,Hallway between Room 101 and 102,6/7/16 7:15 AM,None Detected,ND
1-NE-F02-55,Hallway between Room 101 and 102,6/7/16 7:15 AM,None Detected,ND
1-NE-F03-56,Hallway between Room 101 and 102,6/7/16 7:20 AM,None Detected,ND
1-NE-F03-57,Hallway between Room 101 and 102,6/7/16 7:20 AM,None Detected,ND
1-NE-F03-58,Hallway between Room 101 and 102,6/7/16 7:20 AM,None Detected,ND
1-NE-F03-59,Hallway between Room 101 and 102,6/7/16 7:20 AM,None Detected,ND
1-NE-F03-60,Hallway between Room 101 and 102,6/7/16 7:20 AM,None Detected,ND
1-NE-F04-61,Hallway between Room 101 and 102,6/7/16 7:24 AM,None Detected,ND
1-NE-F04-62,Hallway between Room 101 and 102,6/7/16 7:24 AM,None Detected,ND
1-NE-F04-63,Hallway between Room 101 and 102,6/7/16 7:24 AM,None Detected,ND
1-NE-F04-64,Hallway between Room 101 and 102,6/7/16 7:24 AM,None Detected,ND
1-NE-F04-65,Hallway between Room 101 and 102,6/7/16 7:24 AM,None Detected,ND
1-SE-F01-66,Hallway between Room 106 and 107,6/7/16 7:33 AM,None Detected,ND
1-SE-F01-67,Hallway between Room 106 and 107,6/7/16 7:33 AM,None Detected,ND
